"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MITOTIC_SPINDLE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_DNA_REPAIR","HALLMARK_G2M_CHECKPOINT","HALLMARK_APOPTOSIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYOGENESIS","HALLMARK_PROTEIN_SECRETION","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_COMPLEMENT","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_DN","HALLMARK_ANGIOGENESIS","HALLMARK_HEME_METABOLISM","HALLMARK_COAGULATION","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PEROXISOME","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_SPERMATOGENESIS","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_PANCREAS_BETA_CELLS"
"21","JUN","PFKFB3","HMGCR","PAFAH1B1","NCOR2","MAP3K7","MYD88","GTF2B","CENPF","DDIT3","PPARD","DECR1","RET","IL17RB","ELOVL5","HRC","OCRL","USP18","XAF1","VASP","AKAP7","NF1","TIMP1","DNAJC3","PDK1","FADS2","NAA38","U2AF1","NIP7","TAGLN","CCRL2","GSS","HSD17B11","ATP5F1C","PMM2","MBP","PIDD1","RASGRP1","CAP2","NRP1","HBQ1","CFB","ADAM19","CYP7A1","PEX2","C2","CSNK2A2","INHBA","CAMK1D","AKT3"
"22","EGR3","VEGFA","HSD17B7","CDC42EP2","DKK4","BMPR1A","ACVR1B","POLR1D","RACGAP1","CDKN1B","KAT2A","CDKN2C","TPBG","NRIP1","ALDH1A3","TNNT1","ICA1","PSMB8","SP110","ITGB1","ATP8B1","RASA1","DPP4","EXOSC2","PIKFYVE","VLDLR","NASP","UBE2L3","WDR74","COL7A1","AQP9","FMO3","IDH1","ATP5F1B","FAM162A","SRXN1","SAT1","TMBIM6","PRDM2","OLR1","DCAF11","BMP1","SLC2A3","HACL1","ACAA1","HLA-A","NAA11","TFPI","AMBN","GCG"
"23","IL1B","BNIP3L","ANXA13","KIF3B","HDAC2","CTNNB1","CSF3R","NCBP2","CENPE","TNF","HEYL","TALDO1","TFF1","ASS1","TARP","DES","MON2","IFIH1","OASL","ZYX","EFNA5","ETS2","KLK1","NOP14","TBK1","WARS1","NUDT21","SSBP1","BYSL","LOXL2","EREG","IDH1","ME1","COX7B","SDC1","NQO1","CDKN2A","FOS","TOGARAM1","PDGFA","ERMAP","VWF","HIPK2","PIPOX","HAO2","ITGB2","TULP2","TSPAN1","LFNG","DPP4"
"24","BCL2A1","TPI1","SREBF2","CCDC88A","DKK1","HIPK2","ITGB3","NELFE","KIF23","GSN","SKP1","TST","MAPT","TFF3","AZGP1","MYOZ1","ARFGEF2","BST2","PSMB8","ACTN4","SLC34A3","RTN1","KLKB1","ATF6","ACTR3","SCD","NUP205","SRSF1","HSPD1","COL6A2","C3AR1","AKR1C3","MGLL","SDHD","EGLN3","OXSR1","AEN","TAP1","SDC2","PTK2","EIF2AK1","FGA","BATF3","PEX6","HSD17B11","HLA-DQA1","ADAD1","ADAM8","SERPINA10","PAX4"
"25","PPP1R15A","ERO1A","PCYT2","KIF15","TCF7","KLF10","REG1A","GTF2F1","UBE2C","TNFSF10","RBX1","MCCC1","SCNN1A","FKBP4","ABHD2","RYR1","TMED2","LGALS3BP","IFI44L","CLDN4","APP","CRMP1","CD59","HYOU1","E2F1","P4HA1","ORC6","TCP1","PLK4","ITGAV","GNA15","SLC22A1","MLYCD","CYCS","PC","GLRX2","PPM1D","E2F5","SMAD3","SLCO2A1","CPOX","F11","BHLHE40","SOD1","CRAT","CD1D","SYCP1","SLPI","ALOX12B","SYT13"
"26","ZC3H12A","KDM3A","ACSS2","BIRC5","WNT1","BMP2","CXCL1","ERCC5","MCM6","CASP6","TCF7L2","PGM1","ABAT","SLC27A2","SAT1","CSRP3","NAPG","ADAR","IFITM3","CADM3","GSTM3","MYH9","CR2","RRP9","MYD88","ACTR2","PCNA","MCM2","NOP2","THBS2","CMKLR1","GSTO1","PCBD1","NDUFA6","B4GALT7","HMOX2","FOXO3","RAB27A","SLC7A1","PGLYRP1","MPP1","THBD","PTGER2","GNPAT","PEX11B","CD80","DDX4","PRKG2","CALCB","SCGN"
"27","SOD2","CCNG2","ATF3","CNTROB","NUMB","ENG","A2M","LIG1","MCM3","SQSTM1","ARRB1","REEP5","FLNB","SEMA3B","DBI","ADAM12","TMX1","ISG20","DDX60","ITGA3","HSPB1","VEGFA","MMP15","NOP56","ITPR2","IDH1","PLK4","EIF3B","PPAN","COL16A1","PTGER4","ARG1","RETSAT","NDUFAB1","FBP2","FES","BTG1","CCND3","GCNT1","VAV2","GLRX5","FURIN","DENND5A","HSD3B1","LONP2","HLA-DRA","MLF1","MMP11","FGGY","HNF1A"
"28","NR4A2","LDHA","ADH4","NF1","ADAM17","APC","CSF2RA","ERCC1","PTTG1","FASLG","LFNG","BCL2L13","XBP1","GPER1","DHCR24","ATP2A1","PAM","GBP2","LGALS3BP","NF2","SLC2A4","CELSR1","LAP3","CXXC1","SQSTM1","SLC2A1","POLE","PSMD14","NOP56","NNMT","LIF","CDO1","S100A10","COX8A","IGFBP3","PFKP","TXNIP","SLC25A4","RUNX1","S100A4","TSPAN5","MMP11","ITIH5","ABCA2","IDH1","THY1","TEKT2","MMP10","SPRR3","STXBP1"
"29","IL1A","GYS1","ETHE1","TSC1","DVL2","PPM1A","IL15RA","ERCC4","CDK1","EGR3","PRKCA","SLC25A10","CELSR2","LLGL2","SORD","CKM","SCAMP1","IRF1","GBP4","B4GALT1","IL2RB","CNTFR","SPOCK2","IGFBP1","RPS6KA1","GBE1","PRIM2","SNRPA","RCL1","TPM1","IL15","FMO1","SUCLG1","ACO2","CHPF","NDUFB4","SLC19A2","SPR","RND3","MSX1","OSBP2","F8","PHTF2","HAO1","FIS1","TLR1","SPATA6","TMEM158","ATP6V1B1","CHGA"
"30","RELB","GAPDH","ECH1","CDC27","PPARD","XIAP","IRF9","POLD4","KIF4A","CD44","DTX2","ME1","RAB31","AGR2","STK39","SVIL","SH3GL2","PLSCR1","IRF8","NEXN","RTN4RL1","ACHE","F10","CNOT4","PTPN11","SERPINH1","RAD51AP1","PWP1","NPM1","CDH2","NAMPT","ALDH9A1","VNN1","ATP5MC1","B3GAT3","GPX3","IER3","CDKN2B","PLPP3","VTN","ANK1","LGMN","GADD45B","PEX16","PEX6","HLA-G","PGK2","TNFAIP3","EDN1","VDR"
"31","TRAF1","BHLHE40","CBS","CNTRL","NCSTN","CDH1","PDGFC","NELFB","ESPL1","FAS","ST3GAL6","PHYH","MYBL1","KRT19","TPD52","MYOM2","RAB2A","PSMB9","PSMB9","CDH6","NCOA6","PML","CTSB","DCP2","MAPKAP1","NUPR1","RFC2","APEX1","AIMP2","MMP2","OPRK1","POR","EHHADH","CYC1","CHST12","SCAF4","TP53","SHOX2","NR3C1","TIMP1","NFE2","HPN","NRP1","ABCD1","ABCB4","HLA-DMB","HSPA2","PRDM1","UPK3B","PCSK2"
"32","BTG2","ANGPTL4","GUSB","TUBGCP5","HDAC5","ID1","HAX1","RFC2","MAD2L1","IL18","FBXW11","PIM3","MREG","CCN5","IDI1","MYL6B","COG2","HERC6","PML","ADAM15","SULF2","CDK5R1","SERPINA1","PDIA6","PLCB1","PSMG1","RPA2","TXNL4A","RRP12","COL11A1","ITGB8","NDRG2","ALDH9A1","NDUFB6","HS2ST1","CDKN2D","NOTCH1","OLFM1","YTHDC1","APOH","AHSP","CTSB","NCOA3","ACSL1","SOD1","IL7","ACRV1","GALNT3","GAMT","INSM1"
